SCENARIO	INSTANCE	SEC_OBJECTIVE	NUM_VEHICLES	TOTAL_TRAVEL_TIME	TOTAL_TRAVELED_DISTANCE	CONFIGURATION
A1	c202	Distance	4	530.690410090563	633.296319719162	D0;C47;C42;C40;C41;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;C63;C60;C71;C73;C61;C65;C68;C67;S0;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0
A1	c202	TravelTime	4	528.142190052258	636.544050964642	D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;C61;C65;C68;D0;D0;C47;C42;C40;C41;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;C67;C63;C60;C71;C73;D0
A1	c203	Distance	4	531.946921032486	633.296319719162	D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C47;C42;C40;C41;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;C63;C60;C71;C73;C61;C65;C68;C67;S0;D0
A1	c203	TravelTime	4	528.296385331824	641.812364385346	D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;C67;S0;C40;C41;D0;D0;C47;C42;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;C63;C60;C71;C73;C61;C65;C68;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0
A1	c204	Distance	4	524.570168416028	628.912715610107	D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C73;C71;C60;C63;C61;C62;D0;D0;C47;C42;C40;C41;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;C67;C68;C65;C66;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0
A1	c204	TravelTime	4	518.397714190919	630.522070224172	D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C73;C61;C65;C68;C66;D0;D0;C47;C42;C40;C41;C46;S0;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;C67;C63;C60;C71;C62;D0
A1	c205	Distance	4	527.768122058063	629.949380040692	D0;C47;C42;C40;C41;C46;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;S0;C67;C63;C60;C71;C73;C61;C65;C68;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;D0
A1	c205	TravelTime	4	527.154928088315	632.270717785843	D0;C47;C42;C40;C41;C46;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;S0;C53;C54;C48;C64;C67;C63;C60;C71;C73;C61;C65;C68;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;D0
A1	c206	Distance	4	527.768122058063	629.949380040692	D0;C47;C42;C40;C41;C46;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;C53;C54;C48;C64;S0;C67;C63;C60;C71;C73;C61;C65;C68;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0
A1	c206	TravelTime	4	527.154928088315	632.270717785844	D0;C47;C42;C40;C41;C46;C51;C49;C50;C44;C45;C43;C39;C56;C58;C59;C57;C55;C52;S0;C53;C54;C48;C64;C67;C63;C60;C71;C73;C61;C65;C68;D0;D0;C7;C9;C10;C8;C12;C14;C11;C13;C15;C18;C17;C16;C24;C22;C25;S0;C27;C33;C35;C38;C37;C36;C34;C30;C32;C31;C5;C28;C29;C26;C23;C19;C21;C20;D0;D0;C89;C90;C87;C85;C83;C82;C81;C84;S0;C75;C70;C69;C72;C79;C78;C80;C77;C76;C86;C95;C62;C66;D0;D0;C88;C3;C2;C6;C97;C94;C93;C91;C96;C99;C98;C0;C1;C74;C4;C92;D0
