SCENARIO	INSTANCE	SEC_OBJECTIVE	NUM_VEHICLES	TOTAL_TRAVEL_TIME	TOTAL_TRAVELED_DISTANCE	CONFIGURATION
A1	r104	TravelTime	9	801.508906649161	975.322687570829	0;94;95;97;15;57;87;2;41;22;74;73;40;58;0;0;82;48;47;36;46;8;45;17;86;91;100;37;0;0;92;85;61;16;44;38;14;43;42;13;0;0;70;30;32;20;71;9;35;65;66;51;1;0;0;89;6;96;59;98;93;99;84;5;60;83;18;0;0;52;7;88;62;11;19;49;64;63;90;10;31;0;0;27;69;50;76;79;78;34;81;33;3;77;28;0;0;53;26;12;24;29;68;80;0;0;21;72;75;56;23;67;39;55;4;25;54;0
A1	r105	TravelTime	12	1084.24947493899	1355.72116798797	0;63;11;62;88;90;10;32;70;0;0;27;69;31;30;81;78;34;68;24;80;0;0;52;82;7;18;8;46;17;60;89;0;0;33;65;71;9;51;20;66;35;77;0;0;28;12;29;76;79;3;50;1;0;0;95;42;15;41;22;56;4;54;0;0;5;83;45;61;99;6;94;96;97;13;0;0;92;14;44;38;86;84;37;91;100;93;0;0;72;39;75;23;67;55;25;0;0;36;47;19;64;49;48;0;0;2;73;21;40;53;26;0;0;59;98;16;85;87;57;43;74;58;0
A1	r106	TravelTime	11	988.514702172811	1230.5289056398	0;7;48;47;36;64;49;10;31;0;0;50;33;65;71;9;78;34;35;77;0;0;28;29;76;53;0;0;96;59;98;91;16;61;99;6;94;95;97;13;0;0;37;14;44;38;86;84;5;17;60;89;0;0;83;45;19;11;90;20;66;32;70;1;0;0;21;72;39;23;67;56;4;55;25;26;0;0;40;87;57;43;100;85;93;0;0;92;42;15;73;41;22;75;74;2;58;0;0;63;62;88;18;8;46;82;52;0;0;27;69;30;51;81;79;3;68;54;24;80;12;0
A1	r107	TravelTime	9	908.924174491629	1102.48778407809	0;50;33;65;79;78;34;35;81;3;77;28;0;0;27;69;76;53;40;26;68;29;24;80;12;0;0;21;72;39;23;67;56;4;55;25;54;0;0;48;47;36;46;8;84;5;85;91;100;37;93;0;0;2;57;42;43;15;41;22;75;74;73;58;0;0;18;82;45;99;6;87;97;59;96;94;13;0;0;7;19;11;64;49;63;10;90;32;70;0;0;52;31;62;88;30;9;71;66;20;51;1;0;0;95;92;98;44;14;38;86;16;61;17;83;60;89;0
A1	r108	TravelTime	8	792.336797871346	948.588150792349	0;28;68;80;24;29;79;78;34;35;81;33;3;77;0;0;52;7;48;47;36;49;64;63;90;32;10;70;0;0;27;1;69;50;76;51;9;71;65;66;20;30;0;0;2;57;15;43;87;53;40;74;75;72;21;26;0;0;73;22;41;23;67;39;56;4;55;25;54;12;0;0;95;92;37;98;85;93;99;5;84;17;45;46;18;89;0;0;97;42;14;44;38;86;16;61;91;100;59;96;6;0;0;31;88;62;11;19;82;8;83;60;94;13;58;0
A1	r109	TravelTime	10	930.221032243153	1162.83734545588	0;95;14;44;38;86;16;84;17;60;89;0;0;59;92;98;61;85;99;94;6;96;37;97;13;0;0;27;69;30;51;81;78;79;3;50;26;0;0;31;62;11;64;63;90;32;20;66;1;0;0;28;12;76;53;40;87;57;43;100;91;93;0;0;29;33;9;71;65;35;34;68;77;0;0;21;75;23;67;39;25;55;54;24;80;0;0;52;88;19;47;36;49;10;70;0;0;2;42;15;41;72;73;22;74;56;4;58;0;0;5;83;45;82;7;18;8;46;48;0
A1	r110	TravelTime	9	895.382598963823	1085.91442158572	0;28;12;76;29;78;34;35;65;66;70;0;0;31;88;62;11;63;10;90;32;20;33;77;0;0;27;52;82;7;19;47;49;64;36;48;0;0;95;59;99;5;84;83;18;8;46;45;17;60;89;0;0;2;41;22;75;56;23;67;39;25;55;4;0;0;92;98;93;61;6;94;87;57;15;43;42;13;58;0;0;69;30;71;9;51;81;79;3;50;1;0;0;21;72;73;74;40;53;26;54;24;80;68;0;0;14;44;38;86;16;85;96;97;37;91;100;0
A1	r111	TravelTime	9	872.901086950064	1068.02460034786	0;95;42;15;99;97;87;6;94;13;59;96;89;0;0;52;7;88;62;11;63;90;32;10;31;0;0;27;69;50;76;53;40;4;55;25;54;26;0;0;18;83;45;8;84;61;91;100;37;98;93;0;0;21;73;23;67;39;22;41;74;56;75;72;0;0;1;51;30;65;9;35;71;66;20;70;0;0;82;48;19;64;49;36;47;46;17;5;60;0;0;28;12;33;81;34;78;79;29;24;80;68;3;77;0;0;92;85;16;86;44;38;14;43;57;2;58;0
A1	r112	TravelTime	9	754.02014211774	940.163222454867	0;53;40;21;73;72;74;75;56;4;26;0;0;2;41;22;23;67;39;25;55;54;0;0;27;52;18;83;84;5;93;99;96;94;6;89;0;0;28;12;76;33;81;35;71;65;66;20;50;0;0;31;62;64;49;36;47;46;8;45;17;60;0;0;95;59;92;87;42;100;91;85;98;37;97;13;0;0;69;30;51;9;34;78;79;3;29;24;80;68;77;0;0;61;16;86;38;44;14;43;15;57;58;0;0;88;7;82;48;19;11;63;90;32;10;70;1;0
A1	r201	TravelTime	3	1115.80471256904	1382.83210850552	0;39;72;2;42;59;98;14;15;75;23;67;21;73;40;79;78;81;9;51;90;49;46;10;20;66;35;32;70;1;0;0;33;65;63;62;31;69;52;27;28;12;29;76;71;30;88;7;18;8;84;94;53;6;50;3;34;26;68;54;56;74;4;55;25;24;80;77;0;0;95;92;5;83;45;47;36;64;11;19;82;61;16;44;38;86;85;99;87;57;22;41;43;37;97;96;13;89;48;60;17;91;100;93;58;0
